scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,recent_targets,TRANSMISSION_BOTH_R16,3,31,22,0.6363636363636364,0.13636363636363635,9,3
all_models_common,recent_targets,TRANSMISSION_GOODS_R16,3,31,22,0.6818181818181818,0.045454545454545456,1,0
all_models_common,recent_targets,TRANSMISSION_OWN_R16,3,31,22,0.6818181818181818,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_SERVICES_R16,3,31,22,0.6363636363636364,0.13636363636363635,9,3
all_models_common,recent_targets,BLEND_DAMPED_TRANSMISSION_R16,4,31,22,0.4090909090909091,0.13636363636363635,15,8
all_models_common,recent_targets,DAMPED_ADAPT_R16,4,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q001_R16,4,31,22,0.5454545454545454,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q010_R16,4,31,22,0.3181818181818182,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q001_R16,4,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q010_R16,4,31,22,0.5909090909090909,0.18181818181818182,14,5
all_models_common,recent_targets,INDEPENDENT_BRIDGE,4,31,22,0.45454545454545453,0.2727272727272727,16,4
all_models_common,recent_targets,RF_RESIDUAL_R15,4,31,22,0.45454545454545453,0.36363636363636365,22,9
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,4,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,STABLE_PIPELINE_R14B,4,31,22,0.45454545454545453,0.2727272727272727,16,4
all_models_common,recent_targets,STATE_FAST_R15,4,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_BOTH_R16,4,31,22,0.4090909090909091,0.22727272727272727,25,13
all_models_common,recent_targets,TRANSMISSION_GOODS_R16,4,31,22,0.4090909090909091,0.2727272727272727,20,8
all_models_common,recent_targets,TRANSMISSION_OWN_R16,4,31,22,0.45454545454545453,0.22727272727272727,14,4
all_models_common,recent_targets,TRANSMISSION_SERVICES_R16,4,31,22,0.5909090909090909,0.5,27,7
paired_pipeline_INDEPENDENT_BRIDGE,full,INDEPENDENT_BRIDGE,2,84,69,0.463768115942029,0.2753623188405797,45,19
paired_pipeline_INDEPENDENT_BRIDGE,full,STABLE_PIPELINE_R14B,2,84,69,0.463768115942029,0.2753623188405797,45,19
paired_pipeline_INDEPENDENT_BRIDGE,full,INDEPENDENT_BRIDGE,3,81,67,0.4925373134328358,0.3283582089552239,52,24
paired_pipeline_INDEPENDENT_BRIDGE,full,STABLE_PIPELINE_R14B,3,81,67,0.4925373134328358,0.3283582089552239,52,24
paired_pipeline_INDEPENDENT_BRIDGE,full,INDEPENDENT_BRIDGE,4,78,63,0.5396825396825397,0.3492063492063492,49,18
paired_pipeline_INDEPENDENT_BRIDGE,full,STABLE_PIPELINE_R14B,4,78,63,0.5396825396825397,0.3492063492063492,49,18
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,INDEPENDENT_BRIDGE,2,35,30,0.5666666666666667,0.3,14,3
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,STABLE_PIPELINE_R14B,2,35,30,0.5666666666666667,0.3,14,3
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,INDEPENDENT_BRIDGE,3,35,31,0.4838709677419355,0.41935483870967744,23,10
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,STABLE_PIPELINE_R14B,3,35,31,0.4838709677419355,0.41935483870967744,23,10
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,INDEPENDENT_BRIDGE,4,35,30,0.6666666666666666,0.4,21,7
paired_pipeline_INDEPENDENT_BRIDGE,origins_2019_2021,STABLE_PIPELINE_R14B,4,35,30,0.6666666666666666,0.4,21,7
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,INDEPENDENT_BRIDGE,2,24,20,0.4,0.25,17,11
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,STABLE_PIPELINE_R14B,2,24,20,0.4,0.25,17,11
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,INDEPENDENT_BRIDGE,3,24,19,0.3684210526315789,0.3157894736842105,20,10
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,STABLE_PIPELINE_R14B,3,24,19,0.3684210526315789,0.3157894736842105,20,10
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,INDEPENDENT_BRIDGE,4,24,19,0.5263157894736842,0.42105263157894735,22,9
paired_pipeline_INDEPENDENT_BRIDGE,origins_2022_2023,STABLE_PIPELINE_R14B,4,24,19,0.5263157894736842,0.42105263157894735,22,9
paired_pipeline_INDEPENDENT_BRIDGE,origins_2024plus,INDEPENDENT_BRIDGE,2,25,19,0.3684210526315789,0.2631578947368421,14,5
paired_pipeline_INDEPENDENT_BRIDGE,origins_2024plus,STABLE_PIPELINE_R14B,2,25,19,0.3684210526315789,0.2631578947368421,14,5
paired_pipeline_INDEPENDENT_BRIDGE,origins_2024plus,INDEPENDENT_BRIDGE,3,22,17,0.6470588235294118,0.17647058823529413,9,4
