origin,h,model,core_log,core_mm,fast_core_log,correction_log,band
2021-10,9,TRANSMISSION_SERVICES_R16,0.6938576485564946,0.6962704179055285,1.213733237926905,-0.5198755893704105,3
2021-11,7,TRANSMISSION_SERVICES_R16,0.33563441680462747,0.3361982997986573,0.8951583739032398,-0.5595239570986124,3
2021-11,8,TRANSMISSION_SERVICES_R16,0.7193874371751625,0.7219812447103233,1.2789113942737746,-0.5595239570986121,3
2021-11,9,TRANSMISSION_SERVICES_R16,0.21054485316571792,0.2107666544781243,0.7700688102643303,-0.5595239570986124,3
2021-12,7,TRANSMISSION_SERVICES_R16,0.8419615835798966,0.8455160488618234,1.4078478589083243,-0.5658862753284277,3
2021-12,8,TRANSMISSION_SERVICES_R16,0.33161577902150297,0.33216623244126464,0.8975020543499307,-0.5658862753284277,3
2021-12,9,TRANSMISSION_SERVICES_R16,-0.3089924665675411,-0.30851557615716196,0.25689380876088663,-0.5658862753284277,3
2022-01,7,TRANSMISSION_SERVICES_R16,0.2836083195512824,0.2840108684099365,0.8270560627664332,-0.5434477432151508,3
2022-01,8,TRANSMISSION_SERVICES_R16,-0.3562005648334158,-0.35556692318978383,0.18724717838173502,-0.5434477432151508,3
2022-01,9,TRANSMISSION_SERVICES_R16,0.5924350869987312,0.5941934543403131,1.1358828302138821,-0.543447743215151,3
2022-02,7,TRANSMISSION_SERVICES_R16,-0.3816191543029014,-0.38089191379872156,0.34854218833247985,-0.7301613426353812,3
2022-02,8,TRANSMISSION_SERVICES_R16,0.5651308366051295,0.5667307132965231,1.2952921792405108,-0.7301613426353812,3
2022-02,9,TRANSMISSION_SERVICES_R16,0.12272131628946237,0.12279664971039156,0.8528826589248436,-0.7301613426353812,3
2022-03,7,TRANSMISSION_SERVICES_R16,0.5048469780747473,0.5061234776502488,1.1702336950881775,-0.6653867170134302,3
2022-03,8,TRANSMISSION_SERVICES_R16,0.06387244088100519,0.06389284366821385,0.7292591578944351,-0.6653867170134299,3
2022-03,9,TRANSMISSION_SERVICES_R16,0.1950074324191018,0.19519769556825523,0.8603941494325317,-0.6653867170134299,3
2022-04,7,TRANSMISSION_SERVICES_R16,0.08896817054316619,0.08900775895950795,0.7414286484005699,-0.6524604778574037,3
2022-04,8,TRANSMISSION_SERVICES_R16,0.21996389463269628,0.22020599268429775,0.8724243724901,-0.6524604778574037,3
2022-04,9,TRANSMISSION_SERVICES_R16,0.5535396631004694,0.5550745246091586,1.2060001409578733,-0.6524604778574039,3
2022-05,7,TRANSMISSION_SERVICES_R16,0.4967631858563998,0.49799909984493435,0.9957196150976861,-0.49895642924128636,3
2022-05,8,TRANSMISSION_SERVICES_R16,0.8289164295059889,0.8323614539538634,1.3278728587472748,-0.4989564292412859,3
2022-05,9,TRANSMISSION_SERVICES_R16,0.6714997067267309,0.6737593209435067,1.1704561359680172,-0.49895642924128636,3
2022-06,7,TRANSMISSION_SERVICES_R16,0.9923215586798735,0.9972613952258628,1.4336777905751592,-0.4413562318952857,3
2022-06,8,TRANSMISSION_SERVICES_R16,0.8336770849987074,0.8371618495721012,1.2750333168939934,-0.44135623189528594,3
2022-06,9,TRANSMISSION_SERVICES_R16,0.4140555250084221,0.4149139192313703,0.855411756903708,-0.4413562318952859,3
2022-07,7,TRANSMISSION_SERVICES_R16,1.2179372601582723,1.2253843187970184,1.3370745148301908,-0.11913725467191849,3
2022-07,8,TRANSMISSION_SERVICES_R16,0.7975874922220961,0.800776694515162,0.9167247468940145,-0.11913725467191838,3
2022-07,9,TRANSMISSION_SERVICES_R16,1.2635940717881615,1.271611153883576,1.38273132646008,-0.11913725467191849,3
2022-08,7,TRANSMISSION_SERVICES_R16,0.8474045328486118,0.8510051685237808,0.8572472098353363,-0.009842676986724475,3
2022-08,8,TRANSMISSION_SERVICES_R16,1.3140773905709795,1.3227493312173535,1.323920067557704,-0.009842676986724586,3
2022-08,9,TRANSMISSION_SERVICES_R16,1.1210751683247,1.1273827649191208,1.1309178453114248,-0.009842676986724808,3
2022-09,7,TRANSMISSION_SERVICES_R16,1.2447506953326954,1.2525299607783185,1.2481897345592259,-0.003439039226530438,3
2022-09,8,TRANSMISSION_SERVICES_R16,1.0526234507978731,1.0581830214351158,1.0560624900244033,-0.003439039226530216,3
2022-09,9,TRANSMISSION_SERVICES_R16,1.1591646898615657,1.1659090379277743,1.162603729088096,-0.003439039226530216,3
2022-10,7,TRANSMISSION_SERVICES_R16,1.0357115141145719,1.0410935706285178,1.0379022370157243,-0.0021907229011524088,3
2022-10,8,TRANSMISSION_SERVICES_R16,1.1424769101337102,1.149028102433683,1.1446676330348624,-0.0021907229011521867,3
2022-10,9,TRANSMISSION_SERVICES_R16,1.527140550301849,1.5388609278119092,1.5293312732030013,-0.0021907229011524088,3
2022-11,7,TRANSMISSION_SERVICES_R16,1.1202287992000242,1.1265268575968783,1.104893242978851,0.015335556221173219,3
2022-11,8,TRANSMISSION_SERVICES_R16,1.505351135336546,1.5167386143021786,1.4900155791153729,0.015335556221173219,3
2022-11,9,TRANSMISSION_SERVICES_R16,0.9505649466189953,0.9550971643827492,0.9352293903978224,0.015335556221172886,3
2022-12,7,TRANSMISSION_SERVICES_R16,1.3733360715307021,1.3828096497018554,1.3561440041397284,0.017192067390973786,3
