origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2022-05,2023-01,INDEPENDENT_BRIDGE,8,1.9962678581101194,0.8,17.685533637956947,19.1068374669823,-1.4213038290253515,7.1,7.314972764454493,-0.21497276445449298
2022-05,2023-02,INDEPENDENT_BRIDGE,9,1.1182913980698541,0.7,18.8038250360268,20.438798984888603,-1.634973948861802,7.8,8.066177573805676,-0.26617757380567664
2022-05,2023-03,INDEPENDENT_BRIDGE,10,0.3251517534679893,0.2,19.12897678949479,20.830407851643756,-1.7014310621489663,8.0,8.282309928953286,-0.28230992895328555
2022-05,2023-04,INDEPENDENT_BRIDGE,11,1.3106306507636658,0.2,20.439607440258456,22.41404821239015,-1.9744407721316932,8.2,8.498874548811191,-0.2988745488111917
2022-05,2023-05,INDEPENDENT_BRIDGE,12,0.8429100054179908,0.1,21.282517445676447,23.445888472809585,-2.163371027133138,8.299999999999999,8.607373423360004,-0.30737342336000495
2022-06,2022-07,INDEPENDENT_BRIDGE,1,1.4908738399399823,1.6,1.4908738399399823,1.4908738399399826,-2.220446049250313e-16,1.6,1.6,0.0
2022-06,2022-08,INDEPENDENT_BRIDGE,2,1.2989326109695558,0.9,2.789806450909538,2.8091718974049327,-0.01936544649539451,2.5,2.5144,-0.01440000000000019
2022-06,2022-09,INDEPENDENT_BRIDGE,3,1.0201801805027182,0.3,3.809986631412256,3.8580106928412286,-0.04802406142897242,2.8,2.8219431999999998,-0.02194319999999994
2022-06,2022-10,INDEPENDENT_BRIDGE,4,1.4981894496346988,1.2,5.308176081046955,5.414000451641853,-0.10582437059489802,4.0,4.055806518399999,-0.05580651839999895
2022-06,2022-11,INDEPENDENT_BRIDGE,5,1.0821427705029443,0.4,6.3903188515499,6.554730436627236,-0.16441158507733622,4.4,4.4720297444736,-0.07202974447359978
2022-06,2022-12,INDEPENDENT_BRIDGE,6,0.7785035322148259,0.4,7.168822383764725,7.384262776818365,-0.2154403930536395,4.800000000000001,4.889917863451495,-0.0899178634514941
2022-06,2023-01,INDEPENDENT_BRIDGE,7,1.1802726343999979,0.8,8.349095018164723,8.651689844025336,-0.3025948258606128,5.6000000000000005,5.7290372063591075,-0.12903720635910698
2022-06,2023-02,INDEPENDENT_BRIDGE,8,1.3875732095979707,0.7,9.736668227762694,10.159311584076509,-0.4226433563138148,6.3,6.46914046680362,-0.16914046680362027
2022-06,2023-03,INDEPENDENT_BRIDGE,9,1.2506502211689459,0.2,10.98731844893164,11.537019258040951,-0.5497008091093107,6.5,6.682078747737227,-0.18207874773722743
2022-06,2023-04,INDEPENDENT_BRIDGE,10,1.3795534203039883,0.2,12.366871869235629,13.075732022120373,-0.7088601528847445,6.7,6.8954429052327,-0.19544290523270025
2022-06,2023-05,INDEPENDENT_BRIDGE,11,1.503342719295007,0.1,13.870214588530636,14.775647806764452,-0.9054332182338154,6.8,7.0023383481379335,-0.20233834813793372
2022-06,2023-06,INDEPENDENT_BRIDGE,12,1.2232664699547713,0.5,15.093481058485407,16.17965982205798,-1.0861787635725744,7.3,7.537350039878624,-0.23735003987862413
