origin,as_of,feature,reference,last_publication,units,value,status
2012-01,2012-02-15 23:59:00,import_mom,2011-12,2012-02-14T00:00:00,"six-month import-price change less six-month core change, log points",4.686685006946958,available
2012-01,2012-02-15 23:59:00,ppi_mom,2011-12,2012-01-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",0.6889641799794923,available
2012-02,2012-03-08 23:59:00,tightening,2012-01,2012-03-03T00:00:00,"negative unemployment change12, pp",0.40000000000000036,available
2012-02,2012-03-08 23:59:00,import_gap,2011-12,2012-02-14T00:00:00,"relative price gap, log points",8.443318762019766,available
2012-02,2012-03-08 23:59:00,ppi_gap,2012-01,2012-02-26T00:00:00,"relative price gap, log points",7.694052292534934,available
2012-02,2012-03-08 23:59:00,fx_news,2012-02,2012-03-01T00:00:00,FX log change since import reference,-1.875203297922547,available
2012-02,2012-03-08 23:59:00,ulc_sameq,2011Q3,2011-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",4.957645104765845,available
2012-02,2012-03-08 23:59:00,import_mom,2011-12,2012-02-14T00:00:00,"six-month import-price change less six-month core change, log points",4.681416856013775,available
2012-02,2012-03-08 23:59:00,ppi_mom,2012-01,2012-02-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.2977480891443522,available
2012-03,2012-04-09 23:59:00,tightening,2012-02,2012-04-01T00:00:00,"negative unemployment change12, pp",0.0,available
2012-03,2012-04-09 23:59:00,import_gap,2012-01,2012-03-16T00:00:00,"relative price gap, log points",9.494409709581326,available
2012-03,2012-04-09 23:59:00,ppi_gap,2012-02,2012-03-26T00:00:00,"relative price gap, log points",7.662689689210822,available
2012-03,2012-04-09 23:59:00,fx_news,2012-03,2012-04-01T00:00:00,FX log change since import reference,-3.410145604641875,available
2012-03,2012-04-09 23:59:00,ulc_sameq,2011Q4,2012-03-15T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.475298996783124,available
2012-03,2012-04-09 23:59:00,import_mom,2012-01,2012-03-16T00:00:00,"six-month import-price change less six-month core change, log points",5.54528203590246,available
2012-03,2012-04-09 23:59:00,ppi_mom,2012-02,2012-03-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.34180219938361,available
2012-04,2012-05-09 23:59:00,tightening,2012-03,2012-05-02T00:00:00,"negative unemployment change12, pp",-0.20000000000000018,available
2012-04,2012-05-09 23:59:00,import_gap,2012-02,2012-04-14T00:00:00,"relative price gap, log points",8.067002771397167,available
2012-04,2012-05-09 23:59:00,ppi_gap,2012-03,2012-04-26T00:00:00,"relative price gap, log points",8.084314725339937,available
2012-04,2012-05-09 23:59:00,fx_news,2012-04,2012-05-01T00:00:00,FX log change since import reference,-0.9711151759395106,available
2012-04,2012-05-09 23:59:00,ulc_sameq,2011Q4,2012-03-15T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.475298996783181,available
2012-04,2012-05-09 23:59:00,import_mom,2012-02,2012-04-14T00:00:00,"six-month import-price change less six-month core change, log points",4.891424239512869,available
2012-04,2012-05-09 23:59:00,ppi_mom,2012-03,2012-04-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.7811395324282748,available
2012-05,2012-06-10 23:59:00,tightening,2012-04,2012-06-01T00:00:00,"negative unemployment change12, pp",0.20000000000000018,available
2012-05,2012-06-10 23:59:00,import_gap,2012-03,2012-05-15T00:00:00,"relative price gap, log points",7.495665172579117,available
2012-05,2012-06-10 23:59:00,ppi_gap,2012-04,2012-05-26T00:00:00,"relative price gap, log points",8.0894085153339,available
2012-05,2012-06-10 23:59:00,fx_news,2012-05,2012-06-01T00:00:00,FX log change since import reference,2.5842471750669267,available
2012-05,2012-06-10 23:59:00,ulc_sameq,2011Q4,2012-03-15T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.475298996783181,available
2012-05,2012-06-10 23:59:00,import_mom,2012-03,2012-05-15T00:00:00,"six-month import-price change less six-month core change, log points",2.8960966698025032,available
2012-05,2012-06-10 23:59:00,ppi_mom,2012-04,2012-05-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.9928628081677249,available
2012-06,2012-07-10 23:59:00,tightening,2012-05,2012-07-02T00:00:00,"negative unemployment change12, pp",-0.09999999999999964,available
2012-06,2012-07-10 23:59:00,import_gap,2012-04,2012-06-14T00:00:00,"relative price gap, log points",7.136833982566031,available
2012-06,2012-07-10 23:59:00,ppi_gap,2012-05,2012-06-26T00:00:00,"relative price gap, log points",7.804824268012112,available
2012-06,2012-07-10 23:59:00,fx_news,2012-06,2012-07-01T00:00:00,FX log change since import reference,3.338930307467644,available
2012-06,2012-07-10 23:59:00,ulc_sameq,2012Q1,2012-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",3.505746884863129,available
