source,target_month,assumed_available_from,timezone,status
CZSO_five_categories,2017-12,2018-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-01,2018-02-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-02,2018-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-03,2018-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-04,2018-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-05,2018-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-06,2018-07-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-07,2018-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-08,2018-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-09,2018-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-10,2018-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-11,2018-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2018-12,2019-01-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2019-01,2019-02-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
