origin,config,prediction,status,n_train,stage,family,band
2018-02,l0.1,-0.15232018283920434,estimated,120,signal,services,0
2018-02,l1,-0.05995059613086502,estimated,120,signal,services,0
2018-02,l10,-0.014856620348099056,estimated,120,signal,services,0
2018-03,l0.1,-0.2380638455201784,estimated,120,signal,services,0
2018-03,l1,-0.07546232236125314,estimated,120,signal,services,0
2018-03,l10,-0.013154248790147975,estimated,120,signal,services,0
2018-04,l0.1,-0.1526348362064602,estimated,120,signal,services,0
2018-04,l1,-0.13540370898412712,estimated,120,signal,services,0
2018-04,l10,-0.03591495777230156,estimated,120,signal,services,0
2018-05,l0.1,-0.07264302826913041,estimated,120,signal,services,0
2018-05,l1,-0.09875590870576079,estimated,120,signal,services,0
2018-05,l10,-0.028272224531078208,estimated,120,signal,services,0
2018-06,l0.1,0.09445367968098446,estimated,120,signal,services,0
2018-06,l1,-0.07900636432582199,estimated,120,signal,services,0
2018-06,l10,-0.03728556821108721,estimated,120,signal,services,0
2018-07,l0.1,0.03730651675851455,estimated,120,signal,services,0
2018-07,l1,-0.04384123114389376,estimated,120,signal,services,0
2018-07,l10,-0.02353719415023613,estimated,120,signal,services,0
2018-08,l0.1,0.11936886770351185,estimated,120,signal,services,0
2018-08,l1,0.03154375251470865,estimated,120,signal,services,0
2018-08,l10,-0.003884449602326649,estimated,120,signal,services,0
2018-09,l0.1,0.012260295027929767,estimated,120,signal,services,0
2018-09,l1,-0.04005012557948128,estimated,120,signal,services,0
2018-09,l10,-0.022820421477189518,estimated,120,signal,services,0
2018-10,l0.1,0.09989317409418857,estimated,120,signal,services,0
2018-10,l1,-0.06638287106888228,estimated,120,signal,services,0
2018-10,l10,-0.03764962207632525,estimated,120,signal,services,0
2018-11,l0.1,-0.09241227599410647,estimated,120,signal,services,0
2018-11,l1,-0.16770506779844613,estimated,120,signal,services,0
2018-11,l10,-0.05894052302125512,estimated,120,signal,services,0
2018-12,l0.1,-0.07942110269515365,estimated,120,signal,services,0
2018-12,l1,-0.17861120711762057,estimated,120,signal,services,0
2018-12,l10,-0.062256221001591276,estimated,120,signal,services,0
2019-01,l0.1,-0.1913328411137778,estimated,120,signal,services,0
2019-01,l1,-0.18703726561244252,estimated,120,signal,services,0
2019-01,l10,-0.0569310550460807,estimated,120,signal,services,0
2019-02,l0.1,-0.1813398101300888,estimated,120,signal,services,0
2019-02,l1,-0.17562568596014452,estimated,120,signal,services,0
