edge,horizon,quantile,value
2023-01,12,0.3333333333333333,1.2035010940919078
2023-01,12,0.5,1.3404825737265424
2023-01,12,0.6666666666666666,1.5801354401805856
2023-01,12,0.75,1.7926734216679563
2023-01,12,0.9,4.59933731221168
2023-01,12,0.95,6.010137581462716
2023-02,3,0.05,-0.3896103896103842
2023-02,3,0.1,-0.21463842355439075
2023-02,3,0.25,0.0
2023-02,3,0.3333333333333333,0.12598506177124608
2023-02,3,0.5,0.3504672897196359
2023-02,3,0.6666666666666666,0.6147540983606703
2023-02,3,0.75,1.0221465076660996
2023-02,3,0.9,1.7611026033690802
2023-02,3,0.95,4.442581726739303
2023-02,6,0.05,-0.5482456140350922
2023-02,6,0.1,-0.2205071664829083
2023-02,6,0.25,0.0
2023-02,6,0.3333333333333333,0.1846722068328699
2023-02,6,0.5,0.47351924344538604
2023-02,6,0.6666666666666666,1.172161172161168
2023-02,6,0.75,1.333333333333342
2023-02,6,0.9,1.7926734216679563
2023-02,6,0.95,4.442581726739303
2023-02,9,0.05,-0.3278688524590123
2023-02,9,0.1,-0.246305418719217
2023-02,9,0.25,0.0
2023-02,9,0.3333333333333333,0.2008032128514081
2023-02,9,0.5,0.5254004913552879
2023-02,9,0.6666666666666666,1.041666666666674
2023-02,9,0.75,1.2947145150195016
2023-02,9,0.9,1.7611026033690802
2023-02,9,0.95,2.978235967926701
2023-02,12,0.05,-0.4000000000000003
2023-02,12,0.1,-0.22293625399618414
2023-02,12,0.25,0.0
2023-02,12,0.3333333333333333,0.1007049345417954
2023-02,12,0.5,0.2176278563656097
2023-02,12,0.6666666666666666,0.4775549188156702
2023-02,12,0.75,0.6181571357094573
2023-02,12,0.9,1.2841091492777013
2023-02,12,0.95,1.6640253565768592
2023-03,3,0.05,-0.39596966341151857
2023-03,3,0.1,-0.21117871670236593
2023-03,3,0.25,0.0
2023-03,3,0.3333333333333333,0.1005025125628167
2023-03,3,0.5,0.2192982456140413
2023-03,3,0.6666666666666666,0.4602991944764101
2023-03,3,0.75,0.6163450768760903
2023-03,3,0.9,1.3404825737265424
2023-03,3,0.95,1.7763845350052376
2023-03,6,0.05,-0.3492433061699773
2023-03,6,0.1,-0.2150537634408644
2023-03,6,0.25,0.0
2023-03,6,0.3333333333333333,0.1357773251866811
2023-03,6,0.5,0.4385964912280604
2023-03,6,0.6666666666666666,1.1273527311263063
2023-03,6,0.75,1.333333333333342
2023-03,6,0.9,1.7611026033690802
2023-03,6,0.95,1.93825811859491
2023-03,9,0.05,-0.2841368280461925
2023-03,9,0.1,-0.11079846668297187
2023-03,9,0.25,0.10917995946429503
2023-03,9,0.3333333333333333,0.1967623822130447
2023-03,9,0.5,0.5523595589242758
2023-03,9,0.6666666666666666,1.0221465076660996
2023-03,9,0.75,1.2236531078883561
2023-03,9,0.9,1.7626307965326964
2023-03,9,0.95,2.978235967926701
2023-03,12,0.05,-0.40741228070175445
2023-03,12,0.1,-0.2188183807439903
2023-03,12,0.25,0.0
2023-03,12,0.3333333333333333,0.0963391136801661
2023-03,12,0.5,0.1763668430335041
2023-03,12,0.6666666666666666,0.47700734320451954
2023-03,12,0.75,0.6872852233676952
2023-03,12,0.9,1.2841091492777013
2023-03,12,0.95,1.6640253565768592
2023-04,3,0.05,-0.4000000000000003
2023-04,3,0.1,-0.21034926354488004
2023-04,3,0.25,0.0
2023-04,3,0.3333333333333333,0.0945179584121103
2023-04,3,0.5,0.2202643171806295
2023-04,3,0.6666666666666666,0.4385964912280604
2023-04,3,0.75,0.5841121495327117
2023-04,3,0.9,1.3404825737265424
2023-04,3,0.95,1.6640253565768592
2023-04,6,0.05,-0.5483562691131538
2023-04,6,0.1,-0.2976190476190465
2023-04,6,0.25,-0.0991080277502609
2023-04,6,0.3333333333333333,0.0
2023-04,6,0.5,0.2010050251256334
2023-04,6,0.6666666666666666,0.6147540983606703
2023-04,6,0.75,1.172161172161168
2023-04,6,0.9,1.7611026033690802
2023-04,6,0.95,4.442581726739303
2023-04,9,0.05,-0.3065283804126439
2023-04,9,0.1,-0.21463842355439075
2023-04,9,0.25,0.0
2023-04,9,0.3333333333333333,0.1357773251866811
2023-04,9,0.5,0.4385964912280604
2023-04,9,0.6666666666666666,0.8005822416302655
2023-04,9,0.75,1.172161172161168
2023-04,9,0.9,1.6640253565768592
2023-04,9,0.95,1.806451612903226
2023-04,12,0.05,-0.3260869565217317
2023-04,12,0.1,-0.20451007492544568
2023-04,12,0.25,0.0
2023-04,12,0.3333333333333333,0.0
2023-04,12,0.5,0.1760563380281743
2023-04,12,0.6666666666666666,0.3768844221105683
2023-04,12,0.75,0.4612546125461358
2023-04,12,0.9,1.172161172161168
2023-04,12,0.95,1.6640253565768592
2023-05,3,0.05,-0.4028197381671594
2023-05,3,0.1,-0.2205071664829083
2023-05,3,0.25,-0.0898472596585708
2023-05,3,0.3333333333333333,0.0
2023-05,3,0.5,0.1763668430335041
2023-05,3,0.6666666666666666,0.36589584976682077
2023-05,3,0.75,0.4612546125461358
2023-05,3,0.9,1.327210884353747
