origin,model,band,target,predicted_change,actual_change,material_actual
2019-08,STABLE_LOCAL_CORE_R14B,3,2020-05,4.440892098500626e-16,-3.23116391896323,True
2019-08,STABLE_LOCAL_CORE_R14B,4,2020-08,-4.440892098500626e-16,3.095270276390003,True
2019-08,STATE_FAST_R15,2,2020-02,-0.16710832313234114,4.5371227759087835,True
2019-08,STATE_FAST_R15,3,2020-05,-0.08555946144375781,-3.23116391896323,True
2019-08,STATE_FAST_R15,4,2020-08,-0.04380644425920366,3.095270276390003,True
2019-09,CORE_FEEDBACK_R21,2,2020-03,-0.07371655851443215,1.7766924979479288,True
2019-09,CORE_FEEDBACK_R21,3,2020-06,-0.03774287795939024,0.21474956628309627,False
2019-09,CORE_FEEDBACK_R21,4,2020-09,-0.019324353515205672,-2.141483529179458,True
2019-09,DAMPED_P95_Q001_R16,2,2020-03,0.02373138256786378,1.7766924979479288,True
2019-09,DAMPED_P95_Q001_R16,3,2020-06,0.049898642309979646,0.21474956628309627,False
2019-09,DAMPED_P95_Q001_R16,4,2020-09,0.057912445919116706,-2.141483529179458,True
2019-09,JOINT_DOMESTIC_R22,2,2020-03,-0.2924522635132054,1.7766924979479288,True
2019-09,JOINT_DOMESTIC_R22,3,2020-06,-0.6280771118490853,0.21474956628309627,False
2019-09,JOINT_DOMESTIC_R22,4,2020-09,0.5143142930882552,-2.141483529179458,True
2019-09,JOINT_ENET_R22,2,2020-03,-2.070893090484538,1.7766924979479288,True
2019-09,JOINT_ENET_R22,3,2020-06,-1.4901535706970295,0.21474956628309627,False
2019-09,JOINT_ENET_R22,4,2020-09,2.8966789830485316,-2.141483529179458,True
2019-09,JOINT_HALF_R22,2,2020-03,-0.22213949044758374,1.7766924979479288,True
2019-09,JOINT_HALF_R22,3,2020-06,-0.3401435029570501,0.21474956628309627,False
2019-09,JOINT_HALF_R22,4,2020-09,0.24273357203870072,-2.141483529179458,True
2019-09,JOINT_IMPORTED_R22,2,2020-03,-0.4247409364617365,1.7766924979479288,True
2019-09,JOINT_IMPORTED_R22,3,2020-06,-0.6836650017502981,0.21474956628309627,False
2019-09,JOINT_IMPORTED_R22,4,2020-09,0.48341963669606614,-2.141483529179458,True
2019-09,JOINT_LINEAR_R22,2,2020-03,-0.37063323766080636,1.7766924979479288,True
2019-09,JOINT_LINEAR_R22,3,2020-06,-0.6428045947046961,0.21474956628309627,False
2019-09,JOINT_LINEAR_R22,4,2020-09,0.504624016876094,-2.141483529179458,True
2019-09,JOINT_OWN_R22,2,2020-03,-0.37197522534290917,1.7766924979479288,True
2019-09,JOINT_OWN_R22,3,2020-06,-0.6618797087179202,0.21474956628309627,False
2019-09,JOINT_OWN_R22,4,2020-09,0.5005427237796178,-2.141483529179458,True
2019-09,JOINT_RF_R22,2,2020-03,-0.442316113386517,1.7766924979479288,True
2019-09,JOINT_RF_R22,3,2020-06,-0.5742162933706791,0.21474956628309627,False
2019-09,JOINT_RF_R22,4,2020-09,0.41710442669425074,-2.141483529179458,True
2019-09,STABLE_LOCAL_CORE_R14B,2,2020-03,4.440892098500626e-16,1.7766924979479288,True
2019-09,STABLE_LOCAL_CORE_R14B,3,2020-06,-4.440892098500626e-16,0.21474956628309627,False
2019-09,STABLE_LOCAL_CORE_R14B,4,2020-09,0.0,-2.141483529179458,True
2019-09,STATE_FAST_R15,2,2020-03,-0.07371655851443215,1.7766924979479288,True
2019-09,STATE_FAST_R15,3,2020-06,-0.037742877959389354,0.21474956628309627,False
2019-09,STATE_FAST_R15,4,2020-09,-0.01932435351520745,-2.141483529179458,True
2019-10,CORE_FEEDBACK_R21,2,2020-04,0.16565236806048955,-2.2627357021481966,True
2019-10,CORE_FEEDBACK_R21,3,2020-07,0.08481401244697051,6.724732589979192,True
2019-10,CORE_FEEDBACK_R21,4,2020-10,0.043424774372848196,-7.635877979317286,True
2019-10,DAMPED_P95_Q001_R16,2,2020-04,0.06725005172368825,-2.2627357021481966,True
2019-10,DAMPED_P95_Q001_R16,3,2020-07,-0.007501114091557737,6.724732589979192,True
2019-10,DAMPED_P95_Q001_R16,4,2020-10,-0.03979299681458537,-7.635877979317286,True
2019-10,JOINT_DOMESTIC_R22,2,2020-04,-0.11257654238119308,-2.2627357021481966,True
2019-10,JOINT_DOMESTIC_R22,3,2020-07,0.8096089521916485,6.724732589979192,True
2019-10,JOINT_DOMESTIC_R22,4,2020-10,-0.43716583876869786,-7.635877979317286,True
2019-10,JOINT_ENET_R22,2,2020-04,2.108759688127982,-2.2627357021481966,True
2019-10,JOINT_ENET_R22,3,2020-07,0.5016013434098765,6.724732589979192,True
2019-10,JOINT_ENET_R22,4,2020-10,-0.5059944938918592,-7.635877979317286,True
2019-10,JOINT_HALF_R22,2,2020-04,0.03947154612465664,-2.2627357021481966,True
2019-10,JOINT_HALF_R22,3,2020-07,0.4774388088115411,6.724732589979192,True
2019-10,JOINT_HALF_R22,4,2020-10,-0.18688075509189028,-7.635877979317286,True
2019-10,JOINT_IMPORTED_R22,2,2020-04,-0.03306107263543634,-2.2627357021481966,True
2019-10,JOINT_IMPORTED_R22,3,2020-07,0.881559958833873,6.724732589979192,True
2019-10,JOINT_IMPORTED_R22,4,2020-10,-0.40814340024888374,-7.635877979317286,True
2019-10,JOINT_LINEAR_R22,2,2020-04,-0.08659229148650249,-2.2627357021481966,True
2019-10,JOINT_LINEAR_R22,3,2020-07,0.8693203824936262,6.724732589979192,True
2019-10,JOINT_LINEAR_R22,4,2020-10,-0.4167011401331715,-7.635877979317286,True
2019-10,JOINT_OWN_R22,2,2020-04,-0.06291909844700583,-2.2627357021481966,True
2019-10,JOINT_OWN_R22,3,2020-07,0.8204912181432122,6.724732589979192,True
2019-10,JOINT_OWN_R22,4,2020-10,-0.4381322111836865,-7.635877979317286,True
2019-10,JOINT_RF_R22,2,2020-04,0.04499708043030015,-2.2627357021481966,True
2019-10,JOINT_RF_R22,3,2020-07,0.8769931635786543,6.724732589979192,True
2019-10,JOINT_RF_R22,4,2020-10,-0.36633415065646346,-7.635877979317286,True
2019-10,STABLE_LOCAL_CORE_R14B,2,2020-04,4.440892098500626e-16,-2.2627357021481966,True
2019-10,STABLE_LOCAL_CORE_R14B,3,2020-07,-4.440892098500626e-16,6.724732589979192,True
2019-10,STABLE_LOCAL_CORE_R14B,4,2020-10,0.0,-7.635877979317286,True
2019-10,STATE_FAST_R15,2,2020-04,0.16565236806048977,-2.2627357021481966,True
2019-10,STATE_FAST_R15,3,2020-07,0.08481401244697051,6.724732589979192,True
2019-10,STATE_FAST_R15,4,2020-10,0.04342477437284864,-7.635877979317286,True
2019-11,CORE_FEEDBACK_R21,2,2020-05,0.013978603557935898,-3.2311639189632304,True
2019-11,CORE_FEEDBACK_R21,3,2020-08,0.007157045021664921,3.1650133488323773,True
