model,h,omitted_year,n,rmse_delta,mae_delta
PRESS_SIGNED_R23B,2,2024,74,0.006221043099095658,0.0036573952007554755
PRESS_SIGNED_R23B,2,2025,74,0.007388865057228466,0.0054724251641431465
PRESS_SIGNED_R23B,2,2026,81,0.005650594463374681,0.00248003641753225
PRESS_LEVELS_R23B,2,2019,77,0.0013177547645595311,0.008125182857431135
PRESS_LEVELS_R23B,2,2020,74,0.0013010881422177434,0.00844501791064367
PRESS_LEVELS_R23B,2,2021,74,0.001349435675331856,0.008431232619116602
PRESS_LEVELS_R23B,2,2022,74,0.0027792962486654638,0.008431232619116658
PRESS_LEVELS_R23B,2,2023,74,0.003681698111381859,0.01055888553036921
PRESS_LEVELS_R23B,2,2024,74,9.955076292467169e-05,0.0050855083473699825
PRESS_LEVELS_R23B,2,2025,74,-7.066476048800396e-05,0.0033099044596609506
PRESS_LEVELS_R23B,2,2026,81,0.0003549709833792214,0.005757624527107819
PRESS_ULC_R23B,3,2019,76,0.005928534773860239,0.010323761001246767
PRESS_ULC_R23B,3,2020,72,0.00613573731139927,0.010908726637400834
PRESS_ULC_R23B,3,2021,72,0.006544510174026019,0.010900014269860203
PRESS_ULC_R23B,3,2022,72,-0.009528006164254421,0.0059984305412034145
PRESS_ULC_R23B,3,2023,72,0.017163687509995196,0.017857451272626834
PRESS_ULC_R23B,3,2024,72,0.0043452492224187456,0.008159456285782518
PRESS_ULC_R23B,3,2025,72,0.0028004428831875927,0.0015912980203272031
PRESS_ULC_R23B,3,2026,80,0.0054059031700930404,0.008971598382626067
PRESS_DOMESTIC_R23B,3,2019,76,-0.0051530583693817356,0.005696293606834768
PRESS_DOMESTIC_R23B,3,2020,72,-0.005415429393013316,0.005879553982218733
PRESS_DOMESTIC_R23B,3,2021,72,-0.005790726912223265,0.005879416662506021
PRESS_DOMESTIC_R23B,3,2022,72,-0.009524205283889198,0.005879416662505799
PRESS_DOMESTIC_R23B,3,2023,72,0.0054382763895004516,0.012832619332198814
PRESS_DOMESTIC_R23B,3,2024,72,-0.007069022979118156,0.003219064739445221
PRESS_DOMESTIC_R23B,3,2025,72,-0.008736896618139589,-0.00350340633846824
PRESS_DOMESTIC_R23B,3,2026,80,-0.0054172011284023824,0.004460847510927457
PRESS_MOMENTUM_R23B,3,2019,76,0.012722523304548483,-0.0015291855460435322
PRESS_MOMENTUM_R23B,3,2020,72,0.012787812572676582,-0.00304974453102691
PRESS_MOMENTUM_R23B,3,2021,72,0.025332851976356263,0.01038052329191319
PRESS_MOMENTUM_R23B,3,2022,72,-0.0109637066256838,-0.006893699379148188
PRESS_MOMENTUM_R23B,3,2023,72,0.008849550247776117,-0.006361275715499826
PRESS_MOMENTUM_R23B,3,2024,72,0.013069170414585551,-0.001677872280737791
PRESS_MOMENTUM_R23B,3,2025,72,0.014110182434727392,0.0012897873429342788
PRESS_MOMENTUM_R23B,3,2026,80,0.011595176668039553,-0.0030343900687513914
PRESS_JOINT_R23B,3,2019,76,0.013767051251735385,0.0018428645161971957
PRESS_JOINT_R23B,3,2020,72,0.014218823155715654,0.0019454003505436912
