period,as_of,model,block,prediction,weight,contribution
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.0011125152541536405,1.0,0.0011125152541536405
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.5550418474977585,0.036321093,0.020159726561857903
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,-0.08945242707994938,0.106143269,-0.009494773030249952
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.2698653816833104,0.054804978,0.01478996630611543
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.09385212043222221,0.008724414,0.0008188047534285655
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,5.131546396909104,0.019151497,0.09827679542576552
2020-02,2020-03-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.031513836347877085,1.0,0.031513836347877085
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.5550418474977585,0.036321093,0.020159726561857903
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,-0.08945242707994938,0.106143269,-0.009494773030249952
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.2698653816833104,0.054804978,0.01478996630611543
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.09385212043222221,0.008724414,0.0008188047534285655
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,5.131546396909104,0.019151497,0.09827679542576552
2020-02,2020-03-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.020614079495779924,1.0,0.020614079495779924
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.16027110125910526,0.036321093,0.005821221574044379
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,-0.09911970992924501,0.106143269,-0.010520890034221825
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,catering,0.4014377282795242,0.054804978,0.022000785866729298
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.788210670839053,0.008724414,0.006876676211617626
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,package_holidays,-8.36114265746586,0.019151497,-0.16012839852102945
2020-03,2020-04-13 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.06830756131778404,1.0,0.06830756131778404
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.16027110125910526,0.036321093,0.005821221574044379
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,-0.09911970992924501,0.106143269,-0.010520890034221825
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,catering,0.4014377282795242,0.054804978,0.022000785866729298
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.788210670839053,0.008724414,0.006876676211617626
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-8.36114265746586,0.019151497,-0.16012839852102945
2020-03,2020-04-13 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.07758793352942911,1.0,0.07758793352942911
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.09662564636519064,0.036321093,0.003509549087815201
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.26250860801431863,0.106143269,0.02786352179527938
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,catering,0.2287791583085442,0.054804978,0.01253823673795828
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,accommodation,1.3735481832514207,0.008724414,0.01198340299963326
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,package_holidays,-2.169431004749655,0.019151497,-0.04154785137917
2020-04,2020-05-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.14691374671915897,1.0,0.14691374671915897
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.09662564636519064,0.036321093,0.003509549087815201
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.26250860801431863,0.106143269,0.02786352179527938
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,catering,0.2287791583085442,0.054804978,0.01253823673795828
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,accommodation,1.3735481832514207,0.008724414,0.01198340299963326
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-2.169431004749655,0.019151497,-0.04154785137917
2020-04,2020-05-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.12202241611352684,1.0,0.12202241611352684
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.26568297312580025,0.036321093,0.00964989597541869
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.298737592912543,0.106143269,0.03170898468492854
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.30395509063869436,0.054804978,0.01665825205544165
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.4477719869851634,0.008724414,0.003906548192061177
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,-0.7054229419070064,0.019151497,-0.013509905355663206
2020-05,2020-06-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.04471422912906956,1.0,0.04471422912906956
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.26568297312580025,0.036321093,0.00964989597541869
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.298737592912543,0.106143269,0.03170898468492854
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.30395509063869436,0.054804978,0.01665825205544165
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.4477719869851634,0.008724414,0.003906548192061177
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-0.7054229419070064,0.019151497,-0.013509905355663206
2020-05,2020-06-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.05887921248293501,1.0,0.05887921248293501
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.34464794526608744,0.036321093,0.01251799007226847
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.036982422302715035,0.106143269,0.003925435198748681
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,catering,0.08939259918337075,0.054804978,0.004899159431607452
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.2727279457452187,0.008724414,0.0023793915080508265
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,package_holidays,6.020240354708904,0.019151497,0.11529661509248651
2020-06,2020-07-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.004359962604574587,1.0,-0.004359962604574587
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.34464794526608744,0.036321093,0.01251799007226847
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.036982422302715035,0.106143269,0.003925435198748681
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.08939259918337075,0.054804978,0.004899159431607452
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.2727279457452187,0.008724414,0.0023793915080508265
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,6.020240354708904,0.019151497,0.11529661509248651
2020-06,2020-07-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.06510456988387836,1.0,-0.06510456988387836
2020-07,2020-08-12 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.2834430219349738,0.036321093,0.010294960359901222
2020-07,2020-08-12 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.1603112058928851,0.106143269,0.01701595545080289
2020-07,2020-08-12 23:59:00,TARGET_BASE_REMAINDER,catering,0.301518397821979,0.054804978,0.016524709159228806
2020-07,2020-08-12 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.9484193086149278,0.008724414,0.008274402693950397
