"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2025","2025-Q3","99.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2025","2025-Q4","101.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2026","2026-03K","93.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2026","2026-Q1","93.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2026","2026-Q2","100.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2023","2023-Q3","101.3","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2023","2023-Q4","107.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2024","2024-03K","103.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2024","2024-Q1","103.9","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2024","2024-Q2","103.3","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2024","2024-Q3","100.8","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2025","2025-03K","106.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2025","2025-Q1","106.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2025","2025-Q2","102.5","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2025","2025-Q3","99.1","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2025","2025-Q4","101.6","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2026","2026-03K","102.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2026","2026-Q1","102.2","procento","%"
"Index dovozních cen (%)","614703","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2026","2026-Q2","101.0","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2023","2023-Q3","99.1","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2023","2023-Q4","94.2","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2024","2024-03K","96.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2024","2024-Q1","96.8","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2024","2024-Q2","96.3","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2024","2024-Q3","99.6","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2024","2024-Q4","99.2","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2025","2025-03K","94.5","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2025","2025-Q1","94.5","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2025","2025-Q2","96.5","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2025","2025-Q3","100.3","procento","%"
