"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2023","2023-Q4","99.1","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2024","2024-03K","101.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2024","2024-Q1","101.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2024","2024-Q2","100.5","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2024","2024-Q3","99.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2024","2024-Q4","100.0","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2025","2025-03K","99.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2025","2025-Q1","99.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2025","2025-Q2","100.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2025","2025-Q3","100.0","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2025","2025-Q4","100.4","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2026","2026-03K","99.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2026","2026-Q1","99.8","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2026","2026-Q2","97.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2015","2015-01","100.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2015","2015-01K","100.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2015","2015-02","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2015","2015-03","99.6","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","duben 2015","2015-04","100.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","květen 2015","2015-05","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červen 2015","2015-06","99.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červenec 2015","2015-07","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","srpen 2015","2015-08","99.1","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","září 2015","2015-09","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","říjen 2015","2015-10","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","listopad 2015","2015-11","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","prosinec 2015","2015-12","99.6","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2016","2016-01","99.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2016","2016-01K","99.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2016","2016-02","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2016","2016-03","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","duben 2016","2016-04","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","květen 2016","2016-05","100.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červen 2016","2016-06","100.1","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červenec 2016","2016-07","100.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","srpen 2016","2016-08","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","září 2016","2016-09","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","říjen 2016","2016-10","100.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","listopad 2016","2016-11","100.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","prosinec 2016","2016-12","100.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2017","2017-01","101.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2017","2017-01K","101.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2017","2017-02","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2017","2017-03","100.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","duben 2017","2017-04","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","květen 2017","2017-05","98.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červen 2017","2017-06","98.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červenec 2017","2017-07","99.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","srpen 2017","2017-08","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","září 2017","2017-09","100.1","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","říjen 2017","2017-10","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","listopad 2017","2017-11","99.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","prosinec 2017","2017-12","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2018","2018-01","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2018","2018-01K","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2018","2018-02","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2018","2018-03","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","duben 2018","2018-04","99.9","procento","%"
