"Indicator","Territory","Weeks","Fuel type","Hodnota"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2022","LPG","20.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2022","Petrol 95 O Natural","42.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2022","Diesel","44.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2022","LPG","21.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2022","Petrol 95 O Natural","42.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2022","Diesel","44.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2022","LPG","21.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2022","Petrol 95 O Natural","42.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2022","Diesel","45.41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2022","LPG","21.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2022","Petrol 95 O Natural","44.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2022","Diesel","46.84"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2022","LPG","22.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2022","Petrol 95 O Natural","44.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2022","Diesel","47.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2022","LPG","22.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2022","Petrol 95 O Natural","43.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2022","Diesel","45.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2022","LPG","23.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2022","Petrol 95 O Natural","46.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2022","Diesel","49.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2022","LPG","22.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2022","Petrol 95 O Natural","43.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2022","Diesel","46.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2022","LPG","17.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2022","Petrol 95 O Natural","38.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2022","Diesel","38.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2022","LPG","16.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2022","Petrol 95 O Natural","37.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2022","Diesel","36.47"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2022","LPG","16.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2022","Petrol 95 O Natural","37.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2022","Diesel","36.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2022","LPG","16.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2022","Petrol 95 O Natural","36.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2022","Diesel","35.87"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2022","LPG","16.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2022","Petrol 95 O Natural","36.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2022","Diesel","35.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2022","LPG","16.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2022","Petrol 95 O Natural","36.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2022","Diesel","35.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2022","LPG","16.93"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2022","Petrol 95 O Natural","36.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2022","Diesel","35.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2022","LPG","17.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2022","Petrol 95 O Natural","35.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2022","Diesel","34.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2022","LPG","17.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2022","Petrol 95 O Natural","35.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2022","Diesel","35.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2022","LPG","16.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2021","Petrol 95 O Natural","36.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2021","Diesel","35.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2021","LPG","15.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2021","Petrol 95 O Natural","36.71"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2021","Diesel","35.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2021","LPG","15.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2021","Petrol 95 O Natural","37.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2021","Diesel","35.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2021","LPG","15.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2021","Petrol 95 O Natural","37.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2021","Diesel","36.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2021","LPG","15.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2021","Petrol 95 O Natural","37.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2021","Diesel","36.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2021","LPG","15.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2021","Petrol 95 O Natural","37.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2021","Diesel","36.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2021","LPG","15.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2021","Petrol 95 O Natural","36.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2021","Diesel","35.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2021","LPG","17.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2021","Petrol 95 O Natural","36.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2021","Diesel","35.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2021","LPG","17.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2021","Petrol 95 O Natural","35.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2021","Diesel","34.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2021","LPG","17.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2021","Petrol 95 O Natural","35.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2021","Diesel","33.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2021","LPG","16.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2021","Petrol 95 O Natural","34.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2021","Diesel","32.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2021","LPG","15.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2021","Petrol 95 O Natural","33.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2021","Diesel","32.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2021","LPG","15.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2021","Petrol 95 O Natural","33.84"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2021","Diesel","31.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2021","LPG","15.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2021","Petrol 95 O Natural","33.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2021","Diesel","31.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2021","LPG","15.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2021","Petrol 95 O Natural","33.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2021","Diesel","31.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2021","LPG","15.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2021","Petrol 95 O Natural","33.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2021","Diesel","31.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2021","LPG","15.11"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2021","Petrol 95 O Natural","33.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2021","Diesel","31.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2021","LPG","15.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2021","Petrol 95 O Natural","33.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2021","Diesel","31.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2021","LPG","14.98"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2021","Petrol 95 O Natural","33.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2021","Diesel","31.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2021","LPG","14.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2021","Petrol 95 O Natural","33.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2021","Diesel","31.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2021","LPG","14.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2021","Petrol 95 O Natural","33.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2021","Diesel","31.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2021","LPG","14.11"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2021","Petrol 95 O Natural","33.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2021","Diesel","31.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2021","LPG","14.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2021","Petrol 95 O Natural","33.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2021","Diesel","31.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2021","LPG","13.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2021","Petrol 95 O Natural","32.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2021","Diesel","30.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2021","LPG","13.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2021","Petrol 95 O Natural","32.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2021","Diesel","30.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2021","LPG","13.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2021","Petrol 95 O Natural","32.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2021","Diesel","30.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2021","LPG","13.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2021","Petrol 95 O Natural","32.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2021","Diesel","30.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2021","LPG","13.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2021","Petrol 95 O Natural","32.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2021","Diesel","30.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2021","LPG","13.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2021","Petrol 95 O Natural","32.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2021","Diesel","30.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2021","LPG","13.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2021","Petrol 95 O Natural","32.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2021","Diesel","30.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2021","LPG","13.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2021","Petrol 95 O Natural","31.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2021","Diesel","29.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2021","LPG","13.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2021","Petrol 95 O Natural","31.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2021","Diesel","29.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2021","LPG","13.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2021","Petrol 95 O Natural","31.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2021","Diesel","29.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2021","LPG","14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2021","Petrol 95 O Natural","31.54"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2021","Diesel","29.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2021","LPG","14.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2021","Petrol 95 O Natural","31.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2021","Diesel","29.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2021","LPG","14.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2021","Petrol 95 O Natural","31.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2021","Diesel","29.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2021","LPG","14.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2021","Petrol 95 O Natural","31.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2021","Diesel","29.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2021","LPG","14.08"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2021","Petrol 95 O Natural","30.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2021","Diesel","29.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2021","LPG","14.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2021","Petrol 95 O Natural","29.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2021","Diesel","28.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2021","LPG","13.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2021","Petrol 95 O Natural","29.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2021","Diesel","28.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2021","LPG","13.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2021","Petrol 95 O Natural","28.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2021","Diesel","27.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2021","LPG","13.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2021","Petrol 95 O Natural","28.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2021","Diesel","27.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2021","LPG","13.11"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2021","Petrol 95 O Natural","28.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2021","Diesel","27.71"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2021","LPG","12.98"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2021","Petrol 95 O Natural","28.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2021","Diesel","27.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2021","LPG","12.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2021","Petrol 95 O Natural","28.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2021","Diesel","27.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2021","LPG","12.72"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2021","Petrol 95 O Natural","28.11"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2021","Diesel","27.48"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2021","LPG","12.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2021","Petrol 95 O Natural","27.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2021","Diesel","27.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2021","LPG","12.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2021","Petrol 95 O Natural","27.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2021","Diesel","27.54"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2021","LPG","12.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2020","Petrol 95 O Natural","27.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2020","Diesel","27.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2020","LPG","12.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2020","Petrol 95 O Natural","27.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2020","Diesel","27.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2020","LPG","12.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2020","Petrol 95 O Natural","27.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2020","Diesel","27.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2020","LPG","12.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2020","Petrol 95 O Natural","27.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2020","Diesel","27.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2020","LPG","12.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2020","Petrol 95 O Natural","27.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2020","Diesel","27.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2020","LPG","12.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2020","Petrol 95 O Natural","27.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2020","Diesel","27.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2020","LPG","12.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2020","Petrol 95 O Natural","27.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2020","Diesel","27.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2020","LPG","12.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2020","Petrol 95 O Natural","28.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2020","Diesel","27.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2020","LPG","12.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2020","Petrol 95 O Natural","27.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2020","Diesel","27.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2020","LPG","12.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2020","Petrol 95 O Natural","27.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2020","Diesel","27.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2020","LPG","12.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2020","Petrol 95 O Natural","27.707"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2020","Diesel","27.089"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2020","LPG","12.197"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2020","Petrol 95 O Natural","27.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2020","Diesel","27.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2020","LPG","12.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2020","Petrol 95 O Natural","27.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2020","Diesel","27.08"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2020","LPG","12.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2020","Petrol 95 O Natural","27.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2020","Diesel","27.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2020","LPG","12.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2020","Petrol 95 O Natural","27.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2020","Diesel","27.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2020","LPG","12.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2020","Petrol 95 O Natural","27.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2020","Diesel","27.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2020","LPG","12.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2020","Petrol 95 O Natural","27.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2020","Diesel","27.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2020","LPG","12.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2020","Petrol 95 O Natural","27.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2020","Diesel","27.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2020","LPG","12.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2020","Petrol 95 O Natural","27.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2020","Diesel","27.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2020","LPG","12.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2020","Petrol 95 O Natural","27.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2020","Diesel","27.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2020","LPG","12.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2020","Petrol 95 O Natural","27.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2020","Diesel","27.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2020","LPG","12.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2020","Petrol 95 O Natural","27.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2020","Diesel","27.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2020","LPG","12.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2020","Petrol 95 O Natural","27.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2020","Diesel","27.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2020","LPG","12.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2020","Petrol 95 O Natural","27.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2020","Diesel","27.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2020","LPG","12.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2020","Petrol 95 O Natural","27.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2020","Diesel","26.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2020","LPG","11.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2020","Petrol 95 O Natural","26.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2020","Diesel","26.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2020","LPG","12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2020","Petrol 95 O Natural","26.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2020","Diesel","26.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2020","LPG","12.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2020","Petrol 95 O Natural","26.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2020","Diesel","26.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2020","LPG","11.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2020","Petrol 95 O Natural","25.95"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2020","Diesel","25.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2020","LPG","11.61"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2020","Petrol 95 O Natural","25.84"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2020","Diesel","25.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2020","LPG","11.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2020","Petrol 95 O Natural","25.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2020","Diesel","25.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2020","LPG","11.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2020","Petrol 95 O Natural","25.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2020","Diesel","25.6"
