candidate,reference,omitted_period,delta_rmse,delta_mae
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-07,0.00048816853511834957,0.00011946629632109129
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-08,0.0005138333240254367,0.00020869224229691508
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-09,0.0017311743651487466,0.0006721084810142053
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-10,-0.0007452002134408775,-3.775227836627648e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-11,0.0007906016058648602,0.00036884287656213655
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-12,0.0004782328441629291,6.655235873831433e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-01,-0.00030539087920844477,-0.00010574268927576735
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-02,0.0004101006213573788,-1.0462687890566702e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-03,0.0005602630034401423,0.0006220871954272789
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-04,0.0007878540515540156,0.0003306202789450374
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-05,0.0004986644341897772,0.00016760269001508954
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-06,0.00015083124637660372,-0.0005137438401965899
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-07,0.000481151326872431,8.991851025197395e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-08,0.00043825198144292754,-6.95180888317104e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-09,0.0005097426077162459,0.00016975349660730554
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-10,0.00042212947240916066,-2.946068186704398e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-11,0.0006724597931658249,0.0005780459753182421
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2023-12,0.0005190637844184054,0.00019556712039697777
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-01,0.00032658690719633565,-4.583599579832676e-06
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-02,0.0004931548314826562,0.0001578067136638328
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-03,0.0004926542587896932,0.0002155341142218714
