period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2020-07,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0026537065814904726,0.0034749380889157262,0.0008212315074252585
2020-08,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.004400582967964618,-0.003473561970524399,0.0009270209974402199
2020-09,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0003941150406533254,0.0168784075184276,0.016484292477774276
2020-10,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.014702036489916024,-0.019638260862019277,-0.004936224372103253
2020-11,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.013202392317931041,0.0033725249745334934,0.016574917292464533
2020-12,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.007297472818495196,0.013273631807612683,0.020571104626107867
2021-01,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.008380020393877634,0.0171461702741819,0.02552619066805953
2021-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.019800800343194383,0.0061841519657823705,0.025984952308976753
2021-03,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.000719181213671909,-0.003059280030969682,-0.0023400988172977725
2021-04,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.00016224700811485337,0.019335587575399188,0.01949783458351404
2021-05,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.008773347402821484,0.0645982500474525,0.07337159745027398
2021-06,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.018284984018770323,0.006311067209034668,-0.011973916809735665
2021-07,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.01350864970463729,0.00785099225594372,0.021359641960581016
2021-08,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.02705763378425992,-0.012919268736206442,-0.039976902520466345
2021-09,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.038192474856420695,-0.019910911956819592,-0.05810338681324029
2021-10,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.06554698229322539,-0.004215656403881023,0.06133132588934437
2021-11,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.005146905374327687,0.015289218278542679,0.010142312904214995
2021-12,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.07172956864846591,0.049521787212249486,0.12125135586071539
2022-01,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.07910248548067703,0.06242095023651253,-0.01668153524416449
2022-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.007954015416695086,-0.06069081808748038,-0.05273680267078529
2022-03,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.08458520140402309,0.12496782795602147,0.2095530293600445
2022-04,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.05943792544684452,-0.14234701202939146,-0.20178493747623594
2022-05,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.049920800164126145,-0.17961427216791404,-0.12969347200378786
2022-06,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.024011600079526955,-0.025443917929516613,-0.0014323178499896583
2022-07,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.008197209353932783,-0.004384936080715975,0.003812273273216784
